month,scheme_id,jaccard,l1_weight_change,new_positions,disappeared_positions
2023-09,icici:COMFUND,0.9354838709677419,0.15147317699999996,2,0
2023-09,icici:DISCO,0.9,0.069553338,5,2
2023-09,icici:DIVYLD,0.9622641509433962,0.07172440699999998,1,1
2023-09,icici:E&DF,0.9558823529411765,0.034964859000000015,3,0
2023-09,icici:ESGFUND,0.9523809523809523,0.077089351,2,0
2023-09,icici:EXPORTS,0.8947368421052632,0.18553158299999997,3,1
2023-09,icici:FLEXCAP,0.9180327868852459,0.08168788100000003,3,2
2023-09,icici:FMCG,1.0,0.050220047,0,0
2023-09,icici:FOCUSED,0.9655172413793104,0.09408697699999997,0,1
2023-09,icici:HOUSING,0.9166666666666666,0.09084845600000001,2,1
2023-09,icici:INDOPP,0.8035714285714286,0.159899527,7,4
2023-09,icici:INFRA,0.9655172413793104,0.103191469,1,1
2023-09,icici:INNOVA,0.7733333333333333,0.235735274,7,10
2023-09,icici:LARGE & MIDCAP,0.8607594936708861,0.08550051400000001,1,10
2023-09,icici:LTEF,0.9019607843137255,0.05400358999999999,5,0
2023-09,icici:MGFINDIA,0.8793103448275862,0.19399667299999995,3,4
2023-09,icici:MIDCAP,0.8571428571428571,0.12800065300000002,10,2
2023-09,icici:MNCFUND,0.8888888888888888,0.10156383100000001,3,2
2023-09,icici:MULTI,0.9682539682539683,0.04869465200000002,1,1
2023-09,icici:MULTICAP,0.9166666666666666,0.100904083,5,5
2023-09,icici:PHARMA,0.9512195121951219,0.070261681,2,0
2023-09,icici:PSUEQU,1.0,0.049311844000000014,0,0
2023-09,icici:QUANT,0.8,0.259098651,3,6
2023-09,icici:SMALL,0.8133333333333334,0.21748163,9,5
2023-09,icici:TECH,0.8269230769230769,0.09165069099999999,5,4
2023-09,icici:TRANSPO,0.9666666666666667,0.11157409600000001,1,0
2023-09,kotak:BAL,0.967741935483871,0.03779999999999999,1,1
2023-09,kotak:BFS,1.0,0.06539999999999999,0,0
2023-09,kotak:CON,0.9344262295081968,0.10759999999999999,3,1
2023-09,kotak:ELS,0.9830508474576272,0.06019999999999999,0,1
2023-09,kotak:EME,0.9753086419753086,0.05669999999999998,1,1
2023-09,kotak:ESG,0.9565217391304348,0.08379999999999999,1,1
2023-09,kotak:K30,1.0,0.033600000000000005,0,0
2023-09,kotak:KBA,0.9791666666666666,0.029000000000000015,0,2
2023-09,kotak:KBC,0.9491525423728814,0.04669999999999999,2,1
2023-09,kotak:KFE,0.9354838709677419,0.10699999999999998,1,1
2023-09,kotak:KIE,1.0,0.05119999999999999,0,0
2023-09,kotak:KMI,1.0,0.03810000000000001,0,0
