month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE04TZ01018,1,0.021058009,0.0001063535808080808,252.786,,,0
2023-08,INE050401020,5,0.0065784996,0.00016612372727272727,55.4425,,,0
2023-08,INE052E01015,1,0.0,0.0,0.468,,,0
2023-08,INE052I01032,3,0.005262914666666667,7.974113131313132e-05,125.8104,,,0
2023-08,INE053A01029,36,0.013546270833333334,0.0024629583333333335,7356.73387298,,,0
2023-08,INE053F01010,3,0.004933333333333334,7.474747474747475e-05,375.4426,,,0
2023-08,INE054A01027,12,0.01020725175,0.0006186213181818182,731.9189,,,0
2023-08,INE055A01016,8,0.013157274125,0.0005316070353535353,794.2655,,,0
2023-08,INE055S01018,9,0.014992552333333334,0.0006814796515151515,416.353,,,0
2023-08,INE056C01010,1,0.008,4.0404040404040405e-05,179.9843,,,0
2023-08,INE058A01010,22,0.010432263999999998,0.0011591404444444443,1398.46681313,,,0
2023-08,INE059A01026,61,0.02572333742622951,0.007924866580808081,11719.4290972,,,0
2023-08,INE059B01024,1,0.0034,1.717171717171717e-05,2.9281,,,0
2023-08,INE059D01020,9,0.011140185333333334,0.0005063720606060606,859.2406,,,0
2023-08,INE05AN01011,2,0.013717221,0.00013855778787878788,135.8073,,,0
2023-08,INE060A01024,2,0.01275,0.00012878787878787878,367.8502,,,0
2023-08,INE061F01013,45,0.016867231755555556,0.0038334617626262627,4491.77788161,,,0
2023-08,INE062A01020,117,0.03099215300854701,0.01831354495959596,34894.699234440006,,,0
2023-08,INE062D01024,1,0.0055,2.7777777777777776e-05,87.146916,,,0
2023-08,INE063P01018,25,0.011319775760000001,0.0014292646161616163,2012.6964808,,,0
2023-08,INE066A01021,30,0.014444924466666668,0.0021886249191919193,2707.14380182,,,0
2023-08,INE066F01012,37,0.021414051081081083,0.004001615606060606,6215.579514,,,0
2023-08,INE066O01014,1,0.0156,7.878787878787879e-05,7.9329,,,0
2023-08,INE066P01011,6,0.006120444166666667,0.00018546800505050507,282.8904,,,0
2023-08,INE067A01029,10,0.015110000000000002,0.0007631313131313132,1526.436493,,,0
2023-08,INE068V01023,48,0.013758720708333333,0.0033354474444444444,5435.10717344,,,0
2023-08,INE070A01015,26,0.014368893769230768,0.0018868244343434343,5758.009977,,,0
2023-08,INE070I01018,2,0.0051,5.151515151515152e-05,148.8603,,,0
