month,scheme_id,hhi_nav,hhi_equity_normalized,effective_stocks
2023-08,absl:ABSLBCF,0.04609454169781646,0.0476711616102353,20.97704285404477
2023-08,absl:ABSLESG,0.038954053364585274,0.04111072564130934,24.32455239844195
2023-08,absl:ABSLMAAF,0.01298585268683197,0.030328740649553612,32.97202516764303
2023-08,absl:ABSLMCF,0.019618248594745178,0.020938880014617904,47.75804624229555
2023-08,absl:ABSLSO,0.021838496451487086,0.023539584547234874,42.481633352253326
2023-08,absl:ADVG,0.018953849590307457,0.019385246778374474,51.585621345587725
2023-08,absl:BDYP,0.022869715625919787,0.028653374998453093,34.899902718405315
2023-08,absl:BINFRA,0.025987063673462773,0.028001812052352172,35.711974572588396
2023-08,absl:BSL95F,0.015481140504581005,0.027031446720370663,36.99395042909075
2023-08,absl:BSLBKFS,0.06738027505931232,0.07251563284070846,13.790129946140732
2023-08,absl:BSLDAAF,0.012854048790877927,0.030552852997704293,32.73016762379405
2023-08,absl:BSLEQTY,0.03353618235477347,0.03440615454057385,29.064567469193296
2023-08,absl:BSLFEF,0.037468989705226476,0.03859001900210452,25.91343632003562
2023-08,absl:BSLMFG,0.02782101034567061,0.032763372602533085,30.5218883333972
2023-08,absl:BSLNMF,0.08649010878556875,0.10411397757289555,9.604858284276466
2023-08,absl:BSLPHF,0.05508941081869842,0.05792894812915015,17.262526462081482
2023-08,absl:BSLR96,0.03196031171367813,0.03349061673927154,29.859109725721677
2023-08,absl:BSLTA1,0.011308192473629556,0.013169280884834234,75.93429047075772
2023-08,absl:BTOP100,0.04908114582407976,0.05061611937939674,19.75655210752979
2023-08,absl:GENNEXT,0.020638883642858784,0.023170403803033427,43.158505501275805
2023-08,absl:MIDCAP,0.016578934579074292,0.017913829066807316,55.82279457231778
2023-08,absl:MNC,0.029428930059871197,0.030034059352896412,33.295532523596826
2023-08,absl:PSUEQ,0.044652210962034256,0.04673324688840833,21.398042434069332
2023-08,absl:PURE,0.020448134682350797,0.02093285794892877,47.7717855077297
2023-08,axis:AXISBCF,0.024746010000000002,0.028203573828785408,35.45649945183082
2023-08,axis:AXISDEF,0.02572523,0.04471447089000989,22.364124635620367
2023-08,axis:AXISEHF,0.021045409999999997,0.03937348197791381,25.397804556908145
2023-08,axis:AXISEQF,0.04558490000000001,0.05017102098741454,19.931824792859032
2023-08,axis:AXISESG,0.024781030000000006,0.04643857802289134,21.533820426350307
2023-08,axis:AXISF25,0.04691669,0.06353861459986083,15.738460876076298
2023-08,axis:AXISGOF,0.024659719999999993,0.04369955178565555,22.88352990220489
2023-08,axis:AXISMCF,0.020566059999999997,0.024182481417782082,41.35224928839068
2023-08,axis:AXISMLC,0.025585650000000005,0.02720956905125585,36.751776484083834
2023-08,axis:AXISMLF,0.03859567999999999,0.041896448090504385,23.868371797050855
2023-08,axis:AXISQUA,0.031979289999999994,0.03456280394907931,28.932837783452985
2023-08,axis:AXISSCF,0.016759770000000004,0.020927581321158108,47.783830565693926
2023-08,axis:AXISSSF,0.02176089,0.039238639954203756,25.485083100920956
2023-08,axis:AXISTAF,0.023380919999999996,0.04196800591391736,23.82767487335827
2023-08,axis:AXISTSF,0.04563781000000002,0.047451773131918146,21.074028092057873
2023-08,axis:AXISVAL,0.02256208,0.025190087238985092,39.69815548921021
2023-08,dsp:DAAF,0.010939810000000005,0.025507024451099244,39.204886556530674
2023-08,dsp:EQUITYOPPOR,0.018964490000000004,0.020833074949752377,48.000595323153966
2023-08,dsp:FOCUS,0.036149270000000004,0.039298117747387284,25.44651136800272
2023-08,dsp:Flexi Cap,0.028451480000000005,0.0303511188963341,32.9477144949929
2023-08,dsp:HEALTHCARE,0.05852307000000001,0.07691222146130315,13.001834831973095
2023-08,dsp:MIDCAP,0.022512620000000004,0.024965750665912455,40.05487411060995
2023-08,dsp:NRNEF,0.04184933,0.08070545448977412,12.390736243567108
2023-08,dsp:QUANT,0.029942920000000005,0.030501567183530566,32.78520064175436
2023-08,dsp:SMALLCAP,0.016226329999999994,0.018089586134271952,55.280424470598135
2023-08,dsp:TAX,0.02434589,0.025375626582824364,39.40789389913452
2023-08,dsp:TIGER,0.019779550000000003,0.021395272867596973,46.739296394508465
2023-08,dsp:TOP100,0.04509921,0.05224491347760619,19.14061931461771
2023-08,dsp:VALUE,0.013144589999999998,0.028943838855760295,34.549667201487466
2023-08,hdfc:HDFCBKGFSF,0.11519689999999996,0.11786899482749918,8.483995315846174
2023-08,hdfc:HDFCBUSICY,0.04241040999999998,0.04688350885036788,21.329461563800027
2023-08,hdfc:HDFCCB,0.03756337000000002,0.038148596556683095,26.213284111622556
2023-08,hdfc:HDFCCS,0.039480440000000006,0.0560063311983451,17.855124208342154
2023-08,hdfc:HDFCDFNFND,0.09960957999999999,0.10687755743805054,9.356501252188798
2023-08,hdfc:HDFCDIVYLD,0.02250647,0.023535232430559314,42.48948902248998
2023-08,hdfc:HDFCEQ,0.04117713,0.050802089258780526,19.684229813976835
2023-08,hdfc:HDFCGR,0.0158476,0.035578783625695345,28.10663822913244
2023-08,hdfc:HDFCHOF117,0.049891200000000004,0.05368709216439113,18.62645115771919
2023-08,hdfc:HDFCLARGEF,0.012283630000000004,0.013482637590240711,74.16946374972218
2023-08,hdfc:HDFCMNCFND,0.03826215,0.045176286181665824,22.13550702195251
2023-08,hdfc:HDFCMULCAP,0.010933010000000007,0.012055692905691598,82.94836371685375
2023-08,hdfc:HDFCNCCFND,0.027452869999999997,0.031981358389962286,31.268215308636215
2023-08,hdfc:HDFCPM,0.02509534,0.05771586360483038,17.326258978758617
2023-08,hdfc:HDFCSMALLF,0.016943809999999997,0.019335997548098626,51.71701110907171
